"Projet.Code_Decision_ANR";"Action.Edition";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-21-RHUS-0015";2021;"Digital Urology 3D";"ANR-21-RHUS-0015-01";True;"CHU de Bordeaux";"Organismes Médicaux (Hôpitaux)";"BERNHARD";"Jean-Christophe";"Talence";"Nouvelle Aquitaine";"France"
"ANR-21-RHUS-0014";2021;"Primus";"ANR-21-RHUS-0014-01";True;"CHU de Rennes";"Organismes Médicaux (Hôpitaux)";"";"";"Rennes";"Bretagne";"France"
"ANR-21-RHUS-0013";2021;"REVEAL";"ANR-21-RHUS-0013-01";True;"Institut Gustave Roussy";"Etablissements de santé";"";"";"Villejuif Cedex";"Île-de-France";"France"
"ANR-21-RHUS-0012";2021;"OPERANDI";"ANR-21-RHUS-0012-01";True;"AP-HP";"Organismes Médicaux (Hôpitaux)";"";"";"Paris";"Île-de-France";"France"
"ANR-21-RHUS-0011";2021;"ENDOVX";"ANR-21-RHUS-0011-01";True;"Fondation Hôpital Saint-Joseph";"Fondations";"HAULON";"Stephan";"Paris";"Île-de-France";"France"
"ANR-21-RHUS-0010";2021;"CONDOR";"ANR-21-RHUS-0010-01";True;"Centre régional de lutte contre le cancer - Institut Bergonié";"Organismes Médicaux (Hôpitaux)";"ITALIANO";"Antoine";"Non renseigné";"Non renseigné";"France"
"ANR-21-RHUS-0009";2021;"FAME";"ANR-21-RHUS-0009-01";True;"Université Paris Cité";"Universités, INSA et INP";"";"";"Paris";"Île-de-France";"France"
"ANR-21-RHUS-0008";2021;"COVIFERON";"ANR-21-RHUS-0008-01";True;"Fondation IMAGINE";"Fondations";"";"";"Paris";"Île-de-France";"France"
"ANR-21-RHUS-0007";2021;"SMART (RHU V5)";"ANR-21-RHUS-0007-01";True;"Université de Lyon I (Claude Bernard)";"Universités, INSA et INP";"";"";"Villeurbanne Cedex";"Auvergne-Rhône-Alpes";"France"
"ANR-21-RHUS-0006";2021;"ICELAND";"ANR-21-RHUS-0006-01";True;"Hospices Civils de Lyon";"Organismes Médicaux (Hôpitaux)";"";"";"Lyon";"Auvergne-Rhône-Alpes";"France"
"ANR-21-RHUS-0005";2021;"LySAIRI";"ANR-21-RHUS-0005-01";True;"Institut Gustave Roussy";"Etablissements de santé";"";"";"Villejuif Cedex";"Île-de-France";"France"
"ANR-21-RHUS-0004";2021;"PrediMAP";"ANR-21-RHUS-0004-01";True;"AP-HP";"Organismes Médicaux (Hôpitaux)";"GOFFINET";"François";"Paris";"Île-de-France";"France"
"ANR-21-RHUS-0003";2021;"ORGANOMIC";"ANR-21-RHUS-0003-01";True;"Institut Gustave Roussy";"Etablissements de santé";"";"";"Villejuif Cedex";"Île-de-France";"France"
"ANR-21-RHUS-0002";2021;"CASSIOPEIA";"ANR-21-RHUS-0002-01";True;"Institut Curie";"Fondations";"";"";"Paris Cedex 8";"Île-de-France";"France"
"ANR-21-RHUS-0001";2021;"DELIVER";"ANR-21-RHUS-0001-01";True;"INSERM Délégation Est";"Organismes de type EPST";"BAUMERT";"Thomas F.";"Strasbourg Cedex 2";"Grand Est";"France"
