"Projet.Code_Decision_ANR";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-05-BLAN-0150";"MUSETT";"ANR-05-BLAN-0150-02";False;"GRAND ACCELERATEUR NATIONAL D IONS LOURDS (GANIL)";"Divers privé";"REJMUND";"Maurycy";"";"";"France"
"ANR-05-BLAN-0150";"MUSETT";"ANR-05-BLAN-0150-01";True;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES";"Divers public";"THEISEN";"Christophe";"";"";"France"
"ANR-05-BLAN-0147";"MelaBoFerla";"ANR-05-BLAN-0147-01";True;"INSTITUT DOPTIQUE (IO)";"Laboratoire public";"BOUYER";"Philippe";"";"";"France"
"ANR-05-BLAN-0146";"A3PAT";"ANR-05-BLAN-0146-03";False;"UNIVERSITE BORDEAUX I";"Laboratoire public";"CASTERAN";"Pierre";"";"";"France"
"ANR-05-BLAN-0146";"A3PAT";"ANR-05-BLAN-0146-01";True;"CONSERVATOIRE NATIONAL DES ARTS ET METIERS (CNAM)";"Laboratoire public";"URBAIN";"Xavier";"";"";"France"
"ANR-05-BLAN-0146";"A3PAT";"ANR-05-BLAN-0146-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"CONTEJEAN";"Evelyne";"";"";"France"
"ANR-05-BLAN-0146";"A3PAT";"ANR-05-BLAN-0146-04";False;"INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE -(INRIA Centre Sophia-Antipolis)";"Divers public";"BERTOT";"Yves";"";"";"France"
"ANR-05-BLAN-0141";"BCNO";"ANR-05-BLAN-0141-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"LE GODEC";"Yann";"";"";"France"
"ANR-05-BLAN-0141";"BCNO";"ANR-05-BLAN-0141-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE CENTRE POITOU-CHARENTES";"Divers public";"DE RESSEGUIER";"Thibaut";"";"";"France"
"ANR-05-BLAN-0141";"BCNO";"ANR-05-BLAN-0141-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR OUEST ET NORD";"Divers public";"SOLOZHENKO";"Vladimir";"";"";"France"
"ANR-05-BLAN-0134";"IGTMD";"ANR-05-BLAN-0134-03";False;"RESEAU NATIONAL DE TELECOMMUNICATIONS POUR LA TECHNOLOGIE, LENSEIGNEMENT ET LA RECHERCHE GIP RENATER";"Divers public";"VANDROMME";"Dany";"";"";"France"
"ANR-05-BLAN-0134";"IGTMD";"ANR-05-BLAN-0134-02";False;"ECOLE NORMALE SUPERIEURE DE LYON";"Laboratoire public";"VICAT BLANC PRIMET";"Pascale";"";"";"France"
"ANR-05-BLAN-0134";"IGTMD";"ANR-05-BLAN-0134-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-AUVERGNE";"Divers public";"BOUTIGNY";"Dominique";"";"";"France"
"ANR-05-BLAN-0132";"CONTIFISS";"ANR-05-BLAN-0132-01";True;"ECOLE CENTRALE DE NANTES";"Laboratoire public";"PIJAUDIER CABOT";"Gilles";"";"";"France"
"ANR-05-BLAN-0131";"PHYSEPAT";"ANR-05-BLAN-0131-02";False;"INSTITUT NATIONAL DES SCIENCES APPLIQUEES - INSA DE RENNES";"Laboratoire public";"LANOS";"Christophe";"";"";"France"
"ANR-05-BLAN-0131";"PHYSEPAT";"ANR-05-BLAN-0131-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR EST";"Divers public";"COUSSOT";"Philippe";"";"";"France"
"ANR-05-BLAN-0130";"NATURE";"ANR-05-BLAN-0130-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR OUEST ET NORD";"Divers public";"PRIBAT";"Didier";"";"";"France"
"ANR-05-BLAN-0130";"NATURE";"ANR-05-BLAN-0130-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE MIDI-PYRENEES";"Divers public";"DUBUC";"David";"";"";"France"
"ANR-05-BLAN-0129";"Nod-anti-mic";"ANR-05-BLAN-0129-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"MERGAERT";"Peter";"";"";"France"
"ANR-05-BLAN-0127";"SOLRAD";"ANR-05-BLAN-0127-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE BRETAGNE ET PAYS- DE-LA-LOIRE";"Divers public";"JOBIC";"Stéphane";"";"";"France"
"ANR-05-BLAN-0127";"SOLRAD";"ANR-05-BLAN-0127-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"Divers public";"GRAMBOW";"Bernd";"";"";"France"
"ANR-05-BLAN-0126";"UNCERQALY";"ANR-05-BLAN-0126-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS A";"Divers public";"GAJDOS";"Thibault";"";"";"France"
"ANR-05-BLAN-0125";"BIOEVOLHUM";"ANR-05-BLAN-0125-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR EST";"Divers public";"HEYER";"Evelyne";"";"";"France"
"ANR-05-BLAN-0125";"BIOEVOLHUM";"ANR-05-BLAN-0125-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE LANGUEDOC-ROUSSILLON";"Divers public";"RAYMOND";"Michel";"";"";"France"
"ANR-05-BLAN-0124";"TRANSPART";"ANR-05-BLAN-0124-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"Divers public";"LEFEVRE";"Grégory";"";"";"France"
"ANR-05-BLAN-0122";"PHYCOSYN";"ANR-05-BLAN-0122-03";False;"ECOLE NORMALE SUPERIEURE";"Laboratoire public";"THOMAS";"Jean Claude";"";"";"France"
"ANR-05-BLAN-0122";"PHYCOSYN";"ANR-05-BLAN-0122-02";False;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CENTRE DETUDES NUCLEAIRES SACLAY";"Divers public";"AJLANI";"Ghada";"";"";"France"
"ANR-05-BLAN-0122";"PHYCOSYN";"ANR-05-BLAN-0122-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE BRETAGNE ET PAYS- DE-LA-LOIRE";"Divers public";"PARTENSKY";"Frédéric";"";"";"France"
"ANR-05-BLAN-0119";"SYNTEFOLDAME";"ANR-05-BLAN-0119-04";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE CENTRE-EST";"Divers public";"DIDIERJEAN";"Claude";"";"";"France"
"ANR-05-BLAN-0119";"SYNTEFOLDAME";"ANR-05-BLAN-0119-03";False;"UNIVERSITE DE RENNES I";"Laboratoire public";"LE GREL";"Philippe";"";"";"France"
"ANR-05-BLAN-0119";"SYNTEFOLDAME";"ANR-05-BLAN-0119-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ALSACE";"Divers public";"GUICHARD";"Gilles";"";"";"France"
"ANR-05-BLAN-0119";"SYNTEFOLDAME";"ANR-05-BLAN-0119-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE CENTRE-EST";"Divers public";"JAMART";"Brigitte";"";"";"France"
"ANR-05-BLAN-0110";"ICTER";"ANR-05-BLAN-0110-04";False;"INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE LORIENT UNIVERSITE DE BRETAGNE SUD";"Laboratoire public";"GOGNIAT";"Guy";"";"";"France"
"ANR-05-BLAN-0110";"ICTER";"ANR-05-BLAN-0110-02";False;"Soldé";"Laboratoire public";"FISCHER";"Viktor";"";"";"France"
"ANR-05-BLAN-0110";"ICTER";"ANR-05-BLAN-0110-03";False;"NETHEOS";"PME";"FACELINA";"Xavier";"";"";"France"
"ANR-05-BLAN-0110";"ICTER";"ANR-05-BLAN-0110-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE LANGUEDOC-ROUSSILLON";"Divers public";"TORRES";"Lionel";"";"";"France"
"ANR-05-BLAN-0110";"ICTER";"ANR-05-BLAN-0110-05";False;"INSTITUT TELECOM";"Laboratoire public";"DANGER";"Jean Luc";"";"";"France"
"ANR-05-BLAN-0106";"QCDNEXT";"ANR-05-BLAN-0106-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"Divers public";"ROUDEAU";"Patrick";"";"";"France"
"ANR-05-BLAN-0106";"QCDNEXT";"ANR-05-BLAN-0106-02";False;"INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE - (INRIA Siège)";"Divers public";"BODIN";"Francois";"";"";"France"
"ANR-05-BLAN-0106";"QCDNEXT";"ANR-05-BLAN-0106-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"PENE";"Olivier";"";"";"France"
"ANR-05-BLAN-0106";"QCDNEXT";"ANR-05-BLAN-0106-04";False;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CENTRE DETUDES NUCLEAIRES SACLAY";"Divers public";"GUICHON";"Pierre";"";"";"France"
"ANR-05-BLAN-0105";"SLLOCDYN";"ANR-05-BLAN-0105-01";True;"UNIVERSITE CLAUDE BERNARD - LYON I";"Laboratoire public";"BARRAT";"Jean Louis";"";"";"France"
"ANR-05-BLAN-0105";"SLLOCDYN";"ANR-05-BLAN-0105-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-AUVERGNE";"Divers public";"CILIBERTO";"Sergio";"";"";"France"
"ANR-05-BLAN-0105";"SLLOCDYN";"ANR-05-BLAN-0105-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION AQUITAINE LIMOUSIN";"Divers public";"MANNEVILLE";"Sébastien";"";"";"France"
"ANR-05-BLAN-0104";"OSMOTEUR";"ANR-05-BLAN-0104-04";False;"INSTITUT NATIONAL DES SCIENCES APPLIQUEES - INSA TOULOUSE";"Laboratoire public";"TONDU";"Bertrand";"";"";"France"
"ANR-05-BLAN-0104";"OSMOTEUR";"ANR-05-BLAN-0104-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION AQUITAINE LIMOUSIN";"Divers public";"DEVIN";"Anne";"";"";"France"
"ANR-05-BLAN-0104";"OSMOTEUR";"ANR-05-BLAN-0104-02";False;"UNIVERSITE GRENOBLE I [Joseph Fourier]";"Laboratoire public";"FAVIER";"Denis";"";"";"France"
"ANR-05-BLAN-0104";"OSMOTEUR";"ANR-05-BLAN-0104-01";True;"UNIVERSITE GRENOBLE I [Joseph Fourier]";"Laboratoire public";"CINQUIN";"Philippe";"";"";"France"
"ANR-05-BLAN-0101";"SESAME";"ANR-05-BLAN-0101-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE PROVENCE CORSE";"Divers public";"THOUVENY";"Nicolas";"";"";"France"
"ANR-05-BLAN-0101";"SESAME";"ANR-05-BLAN-0101-02";False;"UNIVERSITE BORDEAUX I";"Laboratoire public";"CARBONEL";"Pierre";"";"";"France"
"ANR-05-BLAN-0101";"SESAME";"ANR-05-BLAN-0101-01";True;"INSTITUT FRANCAIS DE RECHERCHE POUR LEXPLOITATION DE LA MER (IFREMER)- CENTRE DE BRETAGNE";"Divers public";"BERNE";"Serge";"";"";"France"
"ANR-05-BLAN-0100";"OxyFonda";"ANR-05-BLAN-0100-03";False;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CENTRE DETUDES NUCLEAIRES SACLAY";"Divers public";"COLLIN";"Gaston";"";"";"France"
"ANR-05-BLAN-0100";"OxyFonda";"ANR-05-BLAN-0100-02";False;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CENTRE DETUDES NUCLEAIRES SACLAY";"Divers public";"RULLIER ALBENQUE";"Florence";"";"";"France"
"ANR-05-BLAN-0100";"OxyFonda";"ANR-05-BLAN-0100-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"MENDELS";"Philippe";"";"";"France"
"ANR-05-BLAN-0099";"TECESDA";"ANR-05-BLAN-0099-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"LE DOUSSAL";"Pierre";"";"";"France"
"ANR-05-BLAN-0098";"GRANIT";"ANR-05-BLAN-0098-01";True;"INSTITUT MAX VON LAUE-PAUL LANGEVIN";"Entreprise autre que TPE ou PME";"NESVIZHEVSKY";"Valéry";"";"";"France"
"ANR-05-BLAN-0098";"GRANIT";"ANR-05-BLAN-0098-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-AUVERGNE";"Divers public";"MACKOWSKI";"Jean Marie";"";"";"France"
