Sujeto de Apoyo,Fondo  ,Monto Aprobado
GC STUDIOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,929,782"
ASESORIA SOFTSUN SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,023,296"
MAX PC DE MEXICO S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,249,281"
TECNOLOGIA EN COMUNICACIONES E IDENTIFICACIONES DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,171,780"
"DESARROLLO DE TECNOLOGIA Y SERVICIOS INTEGRALES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,292,675"
"ESPECIALISTAS EN TURBOPARTES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,345,014"
HONEYWELL INGENIERÍA Y TECNOLOGIA AEROESPACIAL DE MÉXICO S. DE R.L DE C.V.,Programa de Estímulos a la Innovación (PEI),"24,532,166"
DIGONO APLICACIONES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"725,000"
SERVICIOS TÉCNICOS NH SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,722,685"
POLIETILENOS DEL SURESTE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,731,353"
"LABORATORIO AVI-MEX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,868,318"
DESHIDRATADORA CHILES ANDRADE SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,936,788"
AGO CONSULTORES SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,669,458"
AXIS INGENIERIA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,379,362"
DISTRIBUIDORA DE SINALOA DE EXPLOSIVOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,924,600"
SINERXIA HUMAN CAPITAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,291,634"
BAMBUTERRA S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"8,954,593"
"AISYSTEMS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,413,503"
DISPOSITIVOS MEDICOS TACHICMA S. DE R.L.M.I.,Programa de Estímulos a la Innovación (PEI),"5,157,770"
"SILVER-SOFT, DESARROLLO,TECNOLOGIA Y APLICACIONES S. DE R.L DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,845,000"
AGROALTAMIRA OMETEPEC SC DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,510,000"
TREMET S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,531,250"
GRUPO PROALISER SC DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,939,500"
PROCESAMIENTO ESTOCASTICO DE DATOS S. DE R.L.,Programa de Estímulos a la Innovación (PEI),"537,856"
"SIMIL CUERO PLYMOUTH, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,096,102"
OFISISTEMAS PARADIGMA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,530,000"
EBL S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,145,125"
"FUNDICIONES RICE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,642,052"
HALIMBER SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,523,362"
BONASA COMERCIAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,799,750"
NOVATECLEON SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,287,494"
TECNOGADGET S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,824,888"
GEODENT S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"2,010,000"
"AGROQUIMICOS Y TECNOLOGIAS DE OCCIDENTE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"689,066"
LABORATORIOS GRIFFITH DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,411,923"
"SIMIL CUERO PLYMOUTH, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,935,787"
MERCA2COPIO GROUP S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,752,221"
"PINTURAS THERMICAS DEL NORTE, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"11,232,099"
SKYWORKS SOLUTIONS DE MEXICO S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,223,380"
"GROSS DEL SURESTE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,700,862"
PROTOWARE SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,623,400"
"INCUBASOFT, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,437,887"
I + D BIO S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"5,945,810"
MAQUINADOS E INYECCIONES TECAMAC S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,365,050"
NUTEK S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,358,136"
"INDUSTRIA AGRICOLA MAYA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,995,645"
STRATEGICS DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,889,500"
PRODUCTOS HELADOS MILKY MICH S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,703,386"
"PRODUCTOS QUIMICOS DE CHIHUAHUA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,660,625"
MODUTRAM MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,768,560"
"PROBIOMED, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,295,557"
ACCESOS SIN LIMITE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,053,998"
"CRISER, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,694,521"
"ENERYA,S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,357,680"
"NUTEC BICKLEY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,804,455"
"PAPELERA DE CHIHUAHUA, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"2,791,221"
IMPERMEABILIZANTES Y AISLANTES TÉRMICOS FALCÓN SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,056,931"
TRANSTELL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"222,480"
MIELES CAMPOS AZULES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,276,012"
CONSTRUCCIONES INDUSTRIALES DE AGUASCALIENTES SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,489,507"
CONSTRUCCIONES INDUSTRIALES DE AGUASCALIENTES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,914,507"
SIEMENS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,055,086"
TRANSFORMADORES INTELIGÉNTES DE MÉXICO SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"2,774,192"
ECOAGRONEGOCIOS S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,813,200"
COVESTRO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"572,826"
COMERCIAL ACROS WHIRLPOOL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,459,267"
