Sujeto de Apoyo,Fondo  ,Monto Aprobado
"METAL EUTECTIC, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,863,600"
REALIDAD AUMENTADA MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,940,000"
"FINANPORT, SA DE CV",Programa de Estímulos a la Innovación (PEI),"4,914,812"
GAS NATURAL URUAPAN S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,042,263"
NEBUSENS S. DE R.L. DE C.V,Programa de Estímulos a la Innovación (PEI),"2,514,700"
SMARTSOFT AMERICA BUSINESS APPLICATIONS S. A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,134,689"
COMERCIALIZADORA DE CALZADO EL MARATON SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,648,200"
SMARTSOFT AMERICA BUSINESS APPLICATIONS S. A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,022,188"
QENER SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,347,903"
"PROMOTORA Y CONSULTORÍA DE PROYECTOS TECNOLÓGICOS Y CIENTÍFICOS, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"1,880,321"
AMARANTO DE MESOAMERICA PARA EL MUNDO S.C. DE R.L.,Programa de Estímulos a la Innovación (PEI),"1,571,735"
"SI O SI ALIMENTOS, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,253,950"
SNECMA AMERICA ENGINE SERVICES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,013,940"
"SOLEXVINTEL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,837,332"
UNION GANADERA DELICIAS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"11,426,000"
EUROTRANCIATURA MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"9,949,644"
"ARGUS TECNOLOGIAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"330,813"
GIS TECNOLOGIAS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"4,858,960"
TROQUELADOS REX S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,470,466"
GRUPO EMPRESARIAL PAMERSON S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,498,500"
IOSA DE LOS MOCHIS SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,994,252"
"CORROSIÓN Y PROTECCIÓN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,651,146"
"ABSORTECH AND INNOVATIONS ROXDAN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,875,000"
"KAUTEC TECHNOLOGIES, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,998,719"
"OAXACA AEROSPACE, SA DE CV",Programa de Estímulos a la Innovación (PEI),"6,708,792"
"LANDSTEINER SCIENTIFIC, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,351,000"
CAMBRICO LABORATORIO MOLECULAR MEXICANO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,883,500"
ROTOPLAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,290,242"
"SEEDO, SERVICIOS DE INNOVACION EMPRENDEDORA, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"3,192,500"
"DINA CAMIONES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,654,216"
"TECNOAGRICOLA ESPECIALIZADA DE LOS MOCHIS, SA DE CV",Programa de Estímulos a la Innovación (PEI),"4,978,626"
"INVESTIGACIÓN Y PRODUCCIÓN AGROPECUARIA DEL ALTIPLANO, S.P.R. DE R.L.",Programa de Estímulos a la Innovación (PEI),"1,323,500"
"AGROTECNOLOGIAS TOKAAN, S.P.R. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,996,950"
AUTOMOTIVE R & D MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,797,680"
"DINA CAMIONES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,060,170"
DIGITEC EDUCACIONAL STUDIOS S. DE R.L DE C.V,Programa de Estímulos a la Innovación (PEI),"5,081,745"
LCI INTERNATIONAL BUSINESS SOLUTIONS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"778,374"
"FORD MOTOR COMPANY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"354,765"
SISTEMAS TECNOLÓGICOS J2 S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,616,936"
"SALMI DEL SURESTE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,326,672"
"INNOVACIONES TECNOLÓGICAS KOKOC, SA DE CV",Programa de Estímulos a la Innovación (PEI),"5,044,900"
ELTORO PRODUCTOS Y DERIVADOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,327,025"
TRANSFORMADORES INTELIGÉNTES DE MÉXICO SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"3,626,590"
SOFI DE CHIHUAHUA S.A. DE C.V,Programa de Estímulos a la Innovación (PEI),"4,284,664"
DISEÑO E INGENIERIA APLICADA SUAREZ SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,940,999"
T.F. VICTOR SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,917,700"
MEXUSA UNION DE SOLUCIONES TECNOLOGICAS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,741,750"
"GRUPO DE OPTIMIZACION LOGISTICA GESR, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,940,500"
DAVAD S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,362,500"
"LABORATORIOS AGROENZYMAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,089,323"
COMPAÑIA MEXICANA DE RADIOLOGIA CGR SA DE CV,Programa de Estímulos a la Innovación (PEI),"984,844"
NOVALOSA PROYECTOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,116,678"
COLIMOTES PRODUCTIVOS S. P. R. DE R. L.,Programa de Estímulos a la Innovación (PEI),"5,575,000"
TECNOLOGIAS ALTERNATIVAS DEL NORESTE S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,648,250"
"GRUPO R DE RECICLAJE, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"8,975,183"
CORPORATIVO S.O.S. S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"434,626"
MERCADOTECNIA EN REDES SOCIALES Y PUBLICITARIAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,913,199"
"AGROTECNOLOGIAS TOKAAN, S.P.R. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"11,294,223"
DIGITALIZA TXT SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,091,926"
COMERCIALIZADORA MAJO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,261,050"
INNOVATRONICS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,233,925"
"ACUACULTURA PLANEADA, S. DE R.L. MI.",Programa de Estímulos a la Innovación (PEI),"4,497,500"
COMERCIAL TEIFAROS S DE RL,Programa de Estímulos a la Innovación (PEI),"2,800,660"
DEVISING SOLUTIONS SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"4,249,389"
PRODUCTOS Y SERVICIOS DE ALTA TECNOLOGÍA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"1,937,500"
AZTEC PRIDE INTERNACIONAL SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"1,109,130"
PREMET S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,337,501"
CICSA MANUFACTURING S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,161,616"
LOTTO BIO NANO LABORATORIES SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,041,512"
PROCESADORA DE LACTEOS LA NONA S.P.R. DE R.L.,Programa de Estímulos a la Innovación (PEI),"4,798,500"
SYPRIS TECHNOLOGIES MEXICO S. DE R. L. DE C. V.,Programa de Estímulos a la Innovación (PEI),"2,678,434"
"CONMEXDIST CONSORCIO MEXICANO DE DESARROLLO INNOVACION Y SERVICIOS TECNOLÓGICOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,632,181"
"AGRICULTURA NACIONAL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"963,496"
TRANSFORMADORES INTELIGÉNTES DE MÉXICO SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"4,416,206"
EVERCAST S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,413,910"
AGRICOLA NUEVO SENDERO S. P. R.  DE  R. L.,Programa de Estímulos a la Innovación (PEI),"5,459,500"
"MANUFACTURAS POST-FORM, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,868,000"
IRIZAR MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,196,853"
ELECTRO CONTROLES DEL NOROESTE SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,207,034"
CELULAS DE CORDON UMBILICAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,738,408"
CIA. INDUSTRIAL DE LONAS SA DE CV.,Programa de Estímulos a la Innovación (PEI),"3,922,395"
"NSA, NANOBIOTECNOLOGIA Y SOLUCIONES AVANZADAS SA DE CV",Programa de Estímulos a la Innovación (PEI),"9,305,584"
DERIVADOS LÁCTEOS QUENATURAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,597,787"
SEDIPSSA COMERCIALIZADORA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,865,469"
CONSIRE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,058,140"
"ARGUS TECNOLOGIAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"330,397"
SINNECTICA LABS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,752,550"
"BIOEXTRACTO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,246,564"
T-SYSTEMS MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"551,826"
CINOVATEC S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,279,185"
INDUSTRIAS LAREL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,471,041"
INTERNET DEVELOPMENT SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,432,530"
LABINAL DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,645,056"
"TECNOLOGIAS EOS, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"10,462,774"
"SICOR DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,777,855"
SERVIN SOLUCIONES Y SERVICIOS INTEGRALES SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,285,353"
"INTERNACIONAL DE CERAMICA, S.A.B. DE C.V",Programa de Estímulos a la Innovación (PEI),"6,504,875"
"KRONOS INNOVACION, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,756,111"
"FORD MOTOR COMPANY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"122,739"
ALTO DISEÑO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,792,452"
CONSTRUCTORA FLORPEP SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,160,200"
COLIMAN FRUTAS FINAS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"8,001,968"
"COMERCIAL MEXICANA DE PINTURAS, SA DE CV",Programa de Estímulos a la Innovación (PEI),"1,665,062"
RODAS COMPUTACION SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,518,340"
POLEC INDUSTRIAS S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,455,036"
TECA2E S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"5,585,694"
RECUBRIMIENTOS TEXTURIZADOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,138,150"
ZONA ZERO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,192,009"
NANO COATING TECHNOLOGIES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,782,659"
MEZFER SANTE S. A DE C. V.,Programa de Estímulos a la Innovación (PEI),"534,500"
NORTH SEA DRILLING TECNOLOGIES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,488,891"
"GRUPO INDUSTRIAL TAURO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,111,413"
"MIRACLE BUSINESS NETWORK, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"162,000"
ARCAYA SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,930,518"
TRACSA S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,035,901"
"FORTIA TECHNOLOGY, SA DE CV",Programa de Estímulos a la Innovación (PEI),"4,063,480"
"TUPY MEXICO SALTILLO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,640,235"
CITRICOS EX SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,377,797"
IMPULSORA DE PROYECTOS PRODUCTIVOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,990,000"
INELAP SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,784,966"
COMERCIALIZADORA K MOX SA DE CV,Programa de Estímulos a la Innovación (PEI),"204,565"
NORDSTERN TECHNOLOGIES SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,269,300"
"EMBSOFT, SA DE CV",Programa de Estímulos a la Innovación (PEI),"2,560,010"
"LABORATORIOS PISA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"11,003,719"
PLASTICOS DECORADOS SOCIEDAD DE RESPONSABILIDAD LIMITADA MICROINDUSTRIAL,Programa de Estímulos a la Innovación (PEI),"2,800,000"
DISEÑO E INGENIERIA SUSTENTABLE SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,755,750"
ALINTE S DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"10,446,000"
SUKARNE AGROINDUSTRIAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,795,297"
LOS GRANJEROS DE NEBRASKA SPR DE RI,Programa de Estímulos a la Innovación (PEI),"1,767,063"
ANTECNOLOGIES S DE RL,Programa de Estímulos a la Innovación (PEI),"2,835,000"
HOS QUARKS INNOVATION S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,351,883"
VOLTA ROBOTICS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,924,300"
PYROSMART MÉXICO S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"7,598,195"
COMERCIALIZADORA SUPER COM & MKT SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,119,375"
TREVERK S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,421,060"
"ITP INGENIERÍA Y FABRICACIÓN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,700,000"
ADD ENGINEERING SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,236,199"
ANTECNOLOGIES S DE RL,Programa de Estímulos a la Innovación (PEI),"3,249,602"
VEHÍCULOS ELÉCTRICOS CORPORATIVOS VEC S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"16,415,444"
ALTASER SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,813,700"
ANTECNOLOGIES S DE RL,Programa de Estímulos a la Innovación (PEI),"2,250,530"
"MIRACLE BUSINESS NETWORK, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,462,788"
LETRA POR LETRA S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,300,000"
LLAOS ACUACULTURA SA DE CV,Programa de Estímulos a la Innovación (PEI),"11,149,154"
MEXICANA DE SERVICIOS AVANZADOS EN DATOS S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,977,160"
IMPRESOS GRAFICOS DE CHIHUAHUA SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,065,971"
I-XPORT S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,883,067"
INDUSTRIAL DE PRODUCTOS PETROLEROS SA DECV,Programa de Estímulos a la Innovación (PEI),"3,208,000"
AM DL MRO JV S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,579,750"
SUKARNE PRODUCCION SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,093,765"
"CORVELIS DESARROLLOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,913,857"
INCOTEX INGENIERIA Y CONSULTORIA TECNOLOGICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,074,905"
"DEACERO, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,019,522"
GRUPO ACUANOVUS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,634,500"
4 TOOLS POWER SYSTEMS S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,047,065"
"TUXOR, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"4,981,355"
INDUSTRIAS VANDERDROID SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"1,650,000"
"INTEC DE MÉXICO, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,812,500"
GANADERIA INTEGRAL VIZUR SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,975,600"
GUANTES INTERNACIONALES SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,621,585"
PLASFORMER INDUSTRIES SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,957,449"
GRUPO CELULARBEEP S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,706,258"
SERVICIOS Y OPERACIONES INTEGRALES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,384,875"
MACADAMIA INDUSTRIAS DE OCOSINGO S.P.R.DE R.L.,Programa de Estímulos a la Innovación (PEI),"3,918,500"
GENES2LIFE SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"4,192,000"
PLANAMERICA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"316,174"
ALFA CENTAURI SOLUCIONES EN SOFTWARE Y TECNOLOGIAS DE LA INFORMACIÓN S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,057,666"
SOLETÉ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,904,924"
BM SOLUTIONS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,301,476"
HARMONY TECHNOLOGIES SA DE CV,Programa de Estímulos a la Innovación (PEI),"10,800,000"
LASEC TELECOMUNICACIONES SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"3,465,495"
