Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado (pesos)
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITÉCNICO NACIONAL,ELECTRODE/ELECTROLYTE INTERFACE STUDIES OF CERIA BASED ELECTROLYTES FOR IT-SOFCS,SERVICIOS EDUCATIVOS,46000.00
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MODELOS MATEMÁTICOS PARA EL FLUJO DE AGENTES MÓVILES CONFINADOS,SERVICIOS EDUCATIVOS,57600.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE CIENCIAS NUCLEARES,ESTUDIO TEÓRICO-NUMÉRICO DE ONDAS DE CHOQUE EN MEDIOS ESTRUCTURADOS MAGNÉTICAMENTE,SERVICIOS EDUCATIVOS,104000.00
EL COLEGIO DE MEXICO AC,"INDICADORES DE LAICIDAD EN LAS DEMOCRACIAS CONTEMPORÁNEAS. FUNDAMENTOS JURÍDICOS, POLÍTICOS Y CULTURALES PARA EVALUAR LA RELACIÓN ESTADO-IGLESIAS. UN ANÁLISIS COMPARATIVO ENTRE ARGENTINA Y MÉXICO.",SERVICIOS EDUCATIVOS,70000.00
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,ESTUDIO DE LA PROTEINA HIGH MOBILITY GROUP B (HMGB) DESDE LAS DOS VERTIENTES DE LA INTERACCION PATOGENO HOSPEDERO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,140000.00
"OWENS CORNING MÉXICO, S. DE R.L. DE C.V.",EDIFICACIÓN SOCIAL ABIERTA Y SUSTENTABLE,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETROLEO E INDUSTRIA QUIMICA",8908463.25
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE HUMANIDADES / PROGRAMA UNIVERSITARIO DE ESTUDIOS SOBRE LA CIUDAD,GRANDES PROYECTOS URBANOS CONTEMPORÁNEOS: UN ANÁLISIS MULTIDIMENSIONAL,SERVICIOS EDUCATIVOS,46000.00
UNIVERSIDAD DE GUADALAJARA,EXPANSION ACELERADA DEL UNIVERSO DESDE UN VACIO DE WEYL-INTEGRABLE EN DIMENSIONES EXTRA,SERVICIOS EDUCATIVOS,133600.00
INSTITUTO POLITECNICO NACIONAL,CARACTERIZACIÓN Y PROCESAMIENTO DE MATERIALES POR ABLACIÓN LÁSER,SERVICIOS EDUCATIVOS,136000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE INVESTIGACIONES EN MATEMÁTICAS APLICADAS Y EN SISTEMAS,A MEASURE OF SIMILARITY OF 3D OBJECTS BASED ON ENHANCED CHAIN-CODE DESCRIPTORS AND SEQUENCE ALIGNMENT,SERVICIOS EDUCATIVOS,408000.00
