Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Instituto Nacional de Cancerología,"Efectos De Una Intervención Cognitivo Conductual Sobre La Adhesión Al Tratamiento, Tabaquismo Y Calidad De Vida, Mediante la Modificación de los Estilos de Afrontamiento en Pacientes con Cáncer de Mama en Inicio de Tratamiento Médico.",Servicios De Salud Y De Asistencia Social,"278,000.00"
Universidad Autónoma de Nuevo León,Generación de Hidrogeno como Fuente de Energía Alterna.,Servicios Educativos,"1,500,000.00"
Universidad de Guadalajara,Identificación Molecular e Historia Demográfica de Encinares de México: Herramientas para su Manejo y Conservación.,Servicios Educativos,"1,310,000.00"
Thomson Reuters (Scientific) LLC,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"67,551,267.77"
Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS),"Caracterización de la Vulnerabilidad en Pueblos y Comunidades Indígenas: Caso de Estudio con Pescadores Cucapá En Baja California.","Servicios Profesionales, Cientificos Y Tecnicos","1,146,000.00"
Universidad Nacional Autónoma de México - Centro de Ciencias de la Atmósfera,Repositorio Institucional del Centro de Ciencias de la Atmósfera de la UNAM.,Servicios Educativos,"1,000,000.00"
Universidad Nacional Autónoma de México - Centro de Ciencias Genómicas,Repositorio de Conocimiento Genómico,Servicios Educativos,"975,740.96"
Universidad Nacional Autónoma de México - Instituto de Fisiología Celular,Mejoramiento e Implementación de una Base de Datos de Modificaciones Postraduccionales de la Levadura Saccharomyces Cerevisiae.,Servicios Educativos,"277,192.00"
Universidad Nacional Autónoma de México - Facultad de Ciencias,"Desarrollo del Portal de Acceso a la Información Biológica de la Unidad de Informática para la Biodiversidad de la Facultad de Ciencias, UNAM.",Servicios Educativos,"634,920.00"
Universidad Nacional Autónoma de México - Facultad de Estudios Superiores Iztacala,Implantación del Repositorio Institucionales de Acceso Abierto a la Información Científica y de Innovación Educativa en la Facultad de Estudios Superiores Iztacala,Servicios Educativos,"370,000.00"
Universidad Nacional Autónoma de México - Facultad de Ciencias,Creación de un Repositorio Público de Información de Cenotes del Estado de Yucatán.,Servicios Educativos,"467,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,"Repositorio Institucional del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), UNAM.",Servicios Educativos,"741,825.00"
Universidad Nacional Autónoma de México - Dirección General de Cómputo y de Tecnologías de Información y Comunicación y Dirección General de Bibliotecas,"Repositorio Universitario de la Dirección General de Cómputo y de Tecnologías de Información y Comunicación, RU-TIC.",Servicios Educativos,"600,000.00"
"Universidad Nacional Autónoma de México - Escuela Nacional de Estudios Superiores, Unidad Morelia",Propuesta para el Desarrollo de una Infraestructura Tecnológica para la Creación de Repositorios Masivos de Datos Biológicos con Fines de Conservación y Análisis de Información.,Servicios Educativos,"1,000,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones en Ecosistemas y Sustentabilidad,Bases para Mejorar el Aprovechamiento Sustentable del Agua de Uso Agrícola en México.,Servicios Educativos,"1,078,000.00"
Instituto Mexicano del Seguro Social - Fondo de Investigación en Salud,Proteínas Reguladoras de la Vía de Wnt como Biomarcadores para el Diagnóstico de la Artritis Reumatoide.,Servicios De Salud Y De Asistencia Social,"1,493,500.00"
Universidad Nacional Autónoma de México - Instituto de Geofísica,El Repositorio Institucional de Clima Espacial México.,Servicios Educativos,"968,000.00"
Universidad Nacional Autónoma de México - Instituto de Geofísica,Repositorio de Datos del Servicio Sismológico Nacional.,Servicios Educativos,"993,000.00"
"El Colegio Mexiquense, A.C.","Proyecto para la Renovación de la Política Editorial de la Revista Economía, Sociedad Y Territorio y la Mejora de su Posicionamiento en Sistemas de Información.","Servicios Profesionales, Cientificos Y Tecnicos","109,864.32"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,"Edición, Difusión y Ubicación a Nivel Internacional de la Revista Alteridades.",Servicios Educativos,"107,812.72"
El Colegio de la Frontera Norte A.C. (COLEF),"Consolidación de la Política Editorial, Optimización de la Visibilidad y Posicionamiento Web de la Revista Migraciones Internacionales.",Servicios Educativos,"129,920.00"
Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS),Estrategia para Mejorar el Posicionamiento de Desacatos en el Sistema de Clasificación de Revistas Mexicanas de Ciencia y Tecnología del Consejo Nacional de Ciencia y Tecnología (CRMCYT) y de las Bases de Datos Comprensivas.,"Servicios Profesionales, Cientificos Y Tecnicos","108,888.13"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,"Nuevas Estrategias de Visibilidad, Optimización de la Navegabilidad Web y Reorganización de la Política Editorial de la Revista Signos Históricos.",Servicios Educativos,"129,966.40"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,"Nuevas estrategias de visibilidad, optimización de la navegabilidad web y reorganización de la política editorial de la revista Signos Filosóficos.",Servicios Educativos,"119,996.40"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,"Desarrollo de estrategias de visibilidad, optimización de la navegabilidad web y consolidación de la política editorial de la revista Hidrobiológica.",Servicios Educativos,"129,708.80"
Universidad Autónoma de la Ciudad de México,"Generación de Red, digitalización y difusión electrónica de Andamios, Revista de Investigación Social.",Servicios Educativos,"119,909.00"
"Centros Culturales de México, A.C.","Plan de acción para posicionamiento de Tópicos, Revista de Filosofía",Servicios Educativos,"87,192.00"
El Colegio de Sonora,Región y sociedad: mejoramiento de la política editorial y de su visibilidad web,Servicios Educativos,"119,860.00"
Universidad Autónoma de Chapingo,Estrategias de mejoramiento integral de la Revista Chapingo Serie Ciencias Forestales y del Ambiente,Servicios Educativos,"129,984.00"
Universidad Autónoma de Chapingo,"Desarrollo de estrategias de visibilidad, optimización de la navegabilidad web y reorganización de la política editorial de la Revista Chapingo Serie Horticultura.",Servicios Educativos,"119,884.00"
Instituto Nacional de Psiquiatría Ramón de la Fuente Muñíz,Proyecto para el posicionamiento y mejora de la calidad de la revista Salud Mental.,"Servicios Profesionales, Cientificos Y Tecnicos","113,708.17"
Instituto de Investigaciones Dr. José María Luis Mora (MORA),"Plan Estratégico de Secuencia. Revista de historia y ciencias sociales para mejorar su posicionamiento nacional e internacional, 2017-2019.","Servicios Profesionales, Cientificos Y Tecnicos","113,442.00"
Instituto de Investigaciones Dr. José María Luis Mora (MORA),Proyecto de Posicionamiento Internacional de la Revista América Latina en la Historia Económica,"Servicios Profesionales, Cientificos Y Tecnicos","99,890.94"
Instituto Nacional de Cardiología Ignacio Chávez,Plan de Desarrollo en la Visibilidad y Posecionamiento Creacion Web Oficial como parte de la Estrategia para Alcanzar la Clasificacion Q2.,Servicios De Salud Y De Asistencia Social,"119,689.24"
"Sociedad Química de México, A.C.",Posicionar el Journal of the Mexican Chemical Society en el cuartil Q2 en la clasificación del JCR y SJR.,"Servicios Profesionales, Cientificos Y Tecnicos","129,950.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Filológicas,"Nuevos Retos de Desarrollo y Proyección Internacional de Acta Poética, Revista de Investigación Científica del Área de Humanidades y Ciencias de la Conducta.",Servicios Educativos,"101,341.73"
Sociedad Mexicana de Ingeniería Biomédica,Fortalecimiento de la Revista Mexicana de Ingeniería Biomédica Mediante la Mejora de la Accesibilidad en el Contenido de la Página Web.,Ninguna,"120,000.00"
Instituto Nacional de Salud Pública,Fortalecimiento de Salud Pública de México.,"Servicios Profesionales, Cientificos Y Tecnicos","129,950.00"
El Colegio de la Frontera Norte A.C. (COLEF),"Optimización de la visibilidad, posicionamiento web y consolidación de la política editorial de la revista Frontera Norte",Servicios Educativos,"119,990.00"
"Asociacion Latinoamericana de Control de Calidad Patologia y Recuperacion de la Construccion Internacional, A.C.",Postulación de la Revista ALCONPAT para su indexación en plataformas de base de datos de resúmenes y referencias bibliográficas de literatura científica con impacto internacional,"Servicios Profesionales, Cientificos Y Tecnicos","108,093.77"
